phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target
6631004,http://sp477389.sitebeat.site/,http://www.phishtank.com/phish_detail.php?phish_id=6631004,2020-06-15T14:22:48+00:00,yes,2020-08-01T21:13:34+00:00,yes,Other
6624409,http://kuchkuchnights.com/blog?sec=laurinefeiler,http://www.phishtank.com/phish_detail.php?phish_id=6624409,2020-06-11T18:10:48+00:00,yes,2020-06-11T19:16:43+00:00,yes,Other
6624408,http://kuchkuchnights.com/2222?sec=franziskaoppermann,http://www.phishtank.com/phish_detail.php?phish_id=6624408,2020-06-11T18:10:45+00:00,yes,2020-06-11T19:16:43+00:00,yes,Other
6612034,http://latinotravel.cz/images/content/Made-in-China.com/Made-in-China.com.html,http://www.phishtank.com/phish_detail.php?phish_id=6612034,2020-06-04T14:02:21+00:00,yes,2020-06-04T14:10:15+00:00,yes,Other
6601232,http://match.lookatmynewphotos.com/,http://www.phishtank.com/phish_detail.php?phish_id=6601232,2020-05-29T02:10:08+00:00,yes,2020-06-01T02:33:07+00:00,yes,Other
6594402,https://att5.godaddysites.com/,http://www.phishtank.com/phish_detail.php?phish_id=6594402,2020-05-25T17:32:33+00:00,yes,2024-03-07T02:13:44+00:00,yes,Other
6586498,http://9d62cfee-59b3-42a8-9542-4b3a32692792.htmlcomponentservice.com/get_draft?id=9d62cf_b629798a3637a0ea5eb0bf9dd9f6992d.html,http://www.phishtank.com/phish_detail.php?phish_id=6586498,2020-05-22T03:10:43+00:00,yes,2020-05-22T06:35:46+00:00,yes,Other
6563511,https://c6ebv708.caspio.com/dp/d6c780006a54df419b5d4f2fa3fe,http://www.phishtank.com/phish_detail.php?phish_id=6563511,2020-05-13T00:54:03+00:00,yes,2020-07-25T07:54:55+00:00,yes,Microsoft
6532256,http://hollykim.com/bbs_/f9ebaa/hvsjhhvs33/,http://www.phishtank.com/phish_detail.php?phish_id=6532256,2020-04-27T14:04:15+00:00,yes,2020-04-27T14:12:51+00:00,yes,Other
6532255,http://hollykim.com/bbs_/f9ebaa/hvsjhhvs33,http://www.phishtank.com/phish_detail.php?phish_id=6532255,2020-04-27T14:04:13+00:00,yes,2020-04-27T14:12:51+00:00,yes,Other
6494460,https://att1.godaddysites.com/,http://www.phishtank.com/phish_detail.php?phish_id=6494460,2020-04-08T18:39:56+00:00,yes,2020-04-08T21:35:35+00:00,yes,Other
6482568,https://att7.godaddysites.com/,http://www.phishtank.com/phish_detail.php?phish_id=6482568,2020-04-02T13:16:07+00:00,yes,2020-04-02T20:37:21+00:00,yes,Other
6461225,http://www.stevencrews.com/soff/english%20newchn/newchn/index.php,http://www.phishtank.com/phish_detail.php?phish_id=6461225,2020-03-21T14:03:47+00:00,yes,2020-03-21T14:12:31+00:00,yes,Other
6405040,http://kuchkuchnights.com/2222/?sec=FranziskaOppermann,http://www.phishtank.com/phish_detail.php?phish_id=6405040,2020-02-16T20:01:29+00:00,yes,2020-02-27T07:27:09+00:00,yes,Other
6380478,https://ersfilter-my.sharepoint.com/personal/nradonich_ersfilter_com/_layouts/15/WopiFrame.aspx?guestaccesstoken=6yWMLBQi9%20SJfgzhADHvte2gYoWjf83IQBjRjehiK4s=&amp;docid=1_135f7008dfbfa44e6b09dab0eb165b997&amp;wdFormId={E037F2D9-5DAA-4916-BA03-EB11D0AA6DEA}&amp;action=formsubmit,http://www.phishtank.com/phish_detail.php?phish_id=6380478,2020-02-01T07:00:21+00:00,yes,2020-02-05T01:06:54+00:00,yes,Other
6379541,https://ersfilter-my.sharepoint.com/:x:/r/personal/nradonich_ersfilter_com/_layouts/15/WopiFrame.aspx?guestaccesstoken=t6T%2fHN1dKbYHlYX%2beIMbaZufA43rrGZ6%2faAAewNocDI%3d&docid=1_18168db23429e45f29fdf2e7be120efc4&wdFormId=%7BB9970F62%2D44C3%2D4D09%2D9929%2D6E1EB652DA57%7D&action=formsubmit,http://www.phishtank.com/phish_detail.php?phish_id=6379541,2020-01-31T16:21:18+00:00,yes,2020-02-05T01:05:30+00:00,yes,Other
6377641,https://ersfilter-my.sharepoint.com/personal/nradonich_ersfilter_com/_layouts/15/WopiFrame.aspx?guestaccesstoken=6yWMLBQi9%2bSJfgzhADHvte2gYoWjf83IQBjRjehiK4s%3d&docid=1_135f7008dfbfa44e6b09dab0eb165b997&wdFormId=%7BE037F2D9%2D5DAA%2D4916%2DBA03%2DEB11D0AA6DEA%7D&action=formsubmit,http://www.phishtank.com/phish_detail.php?phish_id=6377641,2020-01-30T17:29:30+00:00,yes,2020-02-01T04:27:21+00:00,yes,Other
